ensemblID	baseMean	log2FoldChange	lfcSE	pvalue	padj	Symbol	UHR_Rep1	UHR_Rep2	UHR_Rep3	HBR_Rep1	HBR_Rep2	HBR_Rep3
ERCC-00130	14196.1300033614	2.05224812726983	0.040220799661259	0	0	ERCC-00130	34882	22442	28573	4042	5337	4382
ERCC-00004	1858.91861461876	2.37692784375047	0.064889716591002	5.75303722976399e-295	1.29155685808202e-292	ERCC-00004	4590	3332	3690	455	538	497
ENSG00000100321	538.978739067744	-4.81209046943898	0.141557462470819	8.2418820921041e-254	1.23353501978491e-251	SYNGR1	51	46	41	756	987	853
ENSG00000128245	815.646606163744	-2.65178583810193	0.0788550915324769	5.36060329462023e-249	6.01727719821121e-247	YWHAH	332	217	290	1024	1351	1139
ENSG00000100167	528.365637595752	-4.66981824963443	0.139009815906728	6.670453884945e-248	5.99006758868061e-246	SEPT3	55	39	55	738	917	876
ENSG00000225783	416.512176531145	-4.09190983666525	0.136181667375289	8.4397793629415e-199	6.31576822326789e-197	MIAT	64	46	62	600	683	670
ERCC-00136	903.979093201951	2.19563255412469	0.0771745748985749	2.75737594603363e-179	1.76865971395586e-177	ERCC-00136	2222	1529	1798	259	302	243
ENSG00000241973	792.360370589021	-2.22462601231561	0.0814952613550704	2.58150012582417e-165	1.44886694561882e-163	PI4KA	385	297	355	1043	1163	1033
ENSG00000100316	1670.15490888566	1.53978469106765	0.0589657385702255	3.8227336974661e-151	1.90711936684697e-149	RPL3	3988	2378	3021	653	754	716
ENSG00000184702	382.528453598601	-2.91946621104941	0.11220155594994	3.72375980666368e-150	1.67196815319199e-148	SEPT5	137	96	101	493	642	551
ENSG00000183741	608.826332262673	-2.04101221995809	0.0831396335816287	2.67139406639792e-134	1.09041448710242e-132	CBX6	358	234	298	736	873	828
ENSG00000100095	276.042348393326	-5.40419664607069	0.229225586697197	1.49968546740128e-123	5.61132312385978e-122	SEZ6L	15	13	19	393	499	452
ERCC-00002	19441.827777979	-0.938372418111839	0.0401318693846152	3.4633111612502e-121	1.19617439338565e-119	ERCC-00002	19987	12985	16992	18942	23626	21105
ENSG00000221890	268.779239245517	-3.37056088042844	0.144517666665336	6.15509499704287e-121	1.97402689548018e-119	NPTXR	68	59	49	383	442	392
ENSG00000251322	235.45296434881	-4.09843008273987	0.175713589132521	8.86220425587404e-121	2.65275314059163e-119	SHANK3	41	23	33	340	415	354
ENSG00000100345	1092.61833292444	1.58473678657922	0.0682346109203892	3.39972120463644e-120	9.540467630511e-119	MYH9	2586	1552	2046	420	479	457
ENSG00000008735	284.487996614764	-5.75426828890678	0.251059018016256	5.24019458242565e-117	1.38402786324066e-115	MAPK8IP2	13	17	8	397	531	466
ENSG00000167074	225.692072419119	-3.93635115049219	0.173865031636381	6.00810441246134e-114	1.49868826733063e-112	TEF	43	32	28	331	382	340
ENSG00000100219	357.112333624826	2.77846755906992	0.12578201461941	3.98321749955351e-109	9.41297188052382e-108	XBP1	1016	619	720	64	91	71
ENSG00000100307	193.991960157879	-4.18147886967425	0.198564046807278	6.72175560227913e-99	1.50903413271166e-97	CBX7	24	24	27	261	355	302
ENSG00000128268	177.644969106811	-4.16819833673988	0.205246887947615	3.8252528539246e-92	8.17875491148641e-91	MGAT3	33	14	23	252	321	268
ENSG00000100427	188.818433642882	-5.27026475281439	0.266861582601728	1.93386655969955e-87	3.9468458422959e-86	MLC1	13	10	12	292	319	302
ERCC-00108	386.642880983923	2.17978899845429	0.115446818600301	9.30520296246587e-81	1.81653744789008e-79	ERCC-00108	923	614	834	109	111	125
ENSG00000128266	153.893481449206	-3.8178170809615	0.204030565526332	1.2912177547358e-78	2.41565321615156e-77	GNAZ	33	17	26	230	260	225
ENSG00000100285	148.826133154371	-3.88174415038159	0.211571409993991	1.16032161161207e-75	2.08393761445527e-74	NEFH	26	23	21	194	258	243
ERCC-00116	456.035918855585	2.0501561446374	0.113218951270005	1.67306773342976e-74	2.88925927811525e-73	ERCC-00116	1025	709	1007	150	144	143
ENSG00000100097	282.170463048991	2.27696801678325	0.129293945193137	1.17840328009518e-70	1.95964101023236e-69	LGALS1	720	441	602	75	88	76
ENSG00000100241	579.607595064022	-1.4084883241431	0.0798419500576575	2.44184721970137e-70	3.91567643444969e-69	SBF1	487	310	391	638	809	656
ENSG00000100297	176.565760903513	3.1398977941298	0.193451171849745	5.14968064398098e-60	7.97312623843952e-59	MCM5	513	271	422	26	30	33
ENSG00000099901	231.502975921164	2.24080779089983	0.139894849573015	5.51977248268269e-59	8.26125948241509e-58	RANBP1	581	389	464	54	75	71
ENSG00000130540	180.351113846821	-6.71026426438506	0.429048279661042	3.69140778471211e-56	5.34658740430883e-55	SULT4A1	4	5	3	283	324	281
ENSG00000100320	566.565435745174	-1.27764381416088	0.0818326690746497	1.65521624027079e-55	2.32247528712996e-54	RBFOX2	495	346	392	605	708	682
ENSG00000100353	303.721156141362	1.81896114178357	0.120754462542506	2.30870917215523e-52	3.14124369181121e-51	EIF3D	705	463	608	94	110	127
ENSG00000131100	324.31573747365	-1.56657044059648	0.104681680474008	1.73386920172301e-51	2.2897272693342e-50	ATP6V1E1	239	173	196	381	445	381
ENSG00000219438	94.7932861053033	-4.03898279063972	0.272513424432985	3.60499041464527e-50	4.62468770335921e-49	FAM19A5	17	14	9	136	157	151
ENSG00000128272	613.966894471575	1.16028987042523	0.0792966292282264	6.2663498272837e-49	7.81553075680662e-48	ATF4	1338	815	1048	288	350	305
ENSG00000100412	393.972875011852	-1.34898796488318	0.0931228707270304	3.49778511079499e-48	4.24460949931609e-47	ACO2	331	227	270	423	525	463
ENSG00000243156	273.583048917185	-1.69075458963343	0.119301342071504	1.43679598006295e-46	1.69768788170596e-45	MICAL3	187	119	176	294	378	371
ENSG00000100354	514.641656082676	-1.1693246169864	0.0831204000595839	2.10569559518721e-45	2.42424954420271e-44	TNRC6B	503	303	383	561	654	561
ENSG00000237517	91.3726325223762	-5.15550116760801	0.370513426781048	1.2853368495024e-44	1.44279061356644e-43	DGCR5	7	5	6	139	167	137
